,Unnamed: 0,Data Year,State,Plant Name,Plant ID,Utility Name,FIPS State Code,FIPS County Code,Latitude,Longitude,Primary Fuel Category,Capacity Factor,Nameplate Capacity,Net Generation,Annual Net Gen,Total Pop,Total Households,Buffer Distance,State pctile for EJ PM,Regional pctile for EJ PM,National pctile for EJ PM,POC Pop,State pctile for POC Pop,Regional pctile for POC Pop,National pctile for POC Pop,State avg for POC Pop,Regional avg for POC Pop,National avg for POC Pop,Low Income Pop,State pctile for Low Inc Pop,Regional pctile for Low Inc Pop,National pctile for Low Inc Pop,State average for Low Inc Pop,Regional average for Low Inc Pop,National average for Low Inc Pop,Ling Iso Pop,State pctile for Ling Iso Pop,Regional pctile for Ling Iso Pop,National pctile for Ling Iso Pop,State avg for Ling Iso Pop,Regional avg for Ling Iso Pop,National avg for Ling Iso Pop,Pop with Less Than HS Edu,State pctile with Less Than HS Edu,Regional pctile with Less Than HS Edu,National pctile with Less Than HS Edu,State avg pop with Less Than HS Edu,Regional avg pop with Less Than HS Edu,National average pop with Less Than HS Edu,PM_Emissions
6,13,2019,MT,Colstrip,6076,Talen Montana LLC,30,87.0,45.8831,-106.614,COAL,0.64761,2363.4,13407682.0,13.394759,2458,793,3,61.0,54.0,42.0,0.32,91.0,73.0,51.0,0.14,0.25,0.39,0.12,6.0,19.0,17.0,0.34,0.28,0.33,0.0,83.0,55.0,45.0,0.0,0.02,0.04,0.02,18.0,22.0,12.0,0.07,0.08,0.13,3983.44368108869
16,79,2019,PA,Keystone,3136,KeyCon Operating LLC,42,5.0,40.6604,-79.3411,COAL,0.66712,1883.2,11005292.0,11.00523351,2104,837,3,23.0,16.0,12.0,0.02,10.0,7.0,3.0,0.23,0.33,0.39,0.23,46.0,49.0,40.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.08,51.0,50.0,45.0,0.1,0.1,0.13,7431.392080734009
18,85,2019,MN,Sherburne County,6090,Northern States Power Co - Minnesota,27,141.0,45.3808,-93.8931,COAL,0.49709,2469.3,10752654.0,10.734409,5710,2001,3,14.0,13.0,9.0,0.06,25.0,24.0,12.0,0.2,0.25,0.39,0.14,32.0,23.0,22.0,0.25,0.3,0.33,0.0,56.0,59.0,45.0,0.02,0.02,0.04,0.05,47.0,34.0,29.0,0.07,0.1,0.13,6329.700061278769
21,108,2019,WV,John E Amos,3935,Appalachian Power Co,54,79.0,38.4731,-81.8233,COAL,0.38133,2932.6,9796207.0,9.752419699999999,9224,3699,3,19.0,29.0,22.0,0.03,38.0,10.0,5.0,0.08,0.33,0.39,0.3,31.0,61.0,52.0,0.39,0.27,0.33,0.0,88.0,55.0,45.0,0.0,0.03,0.04,0.12,48.0,66.0,60.0,0.13,0.1,0.13,9763.664552213742
22,119,2019,OH,Cardinal,2828,Cardinal Operating Company,39,81.0,40.2522,-80.6486,COAL,0.58524,1880.4,9640233.0,9.603206,5760,2583,3,53.0,47.0,35.0,0.03,17.0,11.0,5.0,0.21,0.25,0.39,0.36,62.0,66.0,62.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.13,72.0,73.0,63.0,0.1,0.1,0.13,4137.656425681988
54,227,2019,PA,Homer City,3122,NRG Homer City Services LLC,42,63.0,40.512825,-79.196107,COAL,0.38739,2012.0,6827882.0,6.80325,4745,2015,3,44.0,34.0,25.0,0.02,11.0,8.0,4.0,0.23,0.33,0.39,0.34,67.0,68.0,59.0,0.29,0.27,0.33,0.0,57.0,55.0,45.0,0.02,0.03,0.04,0.09,57.0,55.0,50.0,0.1,0.1,0.13,4967.736225884906
57,280,2019,WV,Fort Martin Power Station,3943,Monongahela Power Co,54,61.0,39.710833,-79.9275,COAL,0.66403,1152.0,6701026.0,6.6870891,6557,2659,3,25.0,35.0,26.0,0.07,64.0,24.0,16.0,0.08,0.33,0.39,0.31,33.0,62.0,53.0,0.39,0.27,0.33,0.01,90.0,59.0,48.0,0.0,0.03,0.04,0.1,42.0,60.0,54.0,0.13,0.1,0.13,6326.929697285784
69,379,2019,KY,Shawnee,1379,Tennessee Valley Authority,21,145.0,37.1517,-88.775,COAL,0.37027,1750.0,5676197.0,5.665911,6114,2651,3,60.0,43.0,46.0,0.12,59.0,22.0,25.0,0.15,0.39,0.39,0.45,64.0,67.0,74.0,0.38,0.36,0.33,0.01,74.0,52.0,46.0,0.01,0.03,0.04,0.15,60.0,65.0,70.0,0.14,0.13,0.13,7878.059741210191
72,390,2019,OH,Kyger Creek,2876,Ohio Valley Electric Corp,39,53.0,38.9144,-82.1289,COAL,0.57945,1086.5,5515010.0,5.507831820000001,3981,1751,3,46.0,40.0,29.0,0.02,15.0,10.0,5.0,0.21,0.25,0.39,0.32,56.0,60.0,55.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.15,77.0,78.0,68.0,0.1,0.1,0.13,6695.868319885462
95,584,2019,OH,W H Sammis,2866,FirstEnergy Generation Corp,39,81.0,40.5317,-80.6319,COAL,0.18302,2468.1,3956914.0,3.9392011,4124,1617,3,50.0,44.0,32.0,0.02,13.0,9.0,4.0,0.21,0.25,0.39,0.35,61.0,64.0,60.0,0.32,0.3,0.33,0.0,68.0,59.0,45.0,0.01,0.02,0.04,0.16,80.0,80.0,70.0,0.1,0.1,0.13,4851.409527671396
